CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
9,Male,64,19,3,2
11,Male,67,19,14,2
13,Female,58,20,15,2
19,Male,52,23,29,2
23,Female,46,25,5,2
25,Female,54,28,14,2
27,Female,45,28,32,2
31,Male,60,30,4,2
33,Male,53,33,4,2
35,Female,49,33,14,2
41,Female,65,38,35,2
43,Male,48,39,36,2
45,Female,49,39,28,2
47,Female,50,40,55,2
51,Female,49,42,52,2
54,Male,59,43,60,2
55,Female,50,43,45,2
56,Male,47,43,41,2
57,Female,51,44,50,2
58,Male,69,44,46,2
60,Male,53,46,46,2
61,Male,70,46,56,2
63,Female,67,47,52,2
64,Female,54,47,59,2
65,Male,63,48,51,2
67,Female,43,48,50,2
68,Female,68,48,48,2
71,Male,70,49,55,2
72,Female,47,49,42,2
73,Female,60,50,49,2
74,Female,60,50,56,2
75,Male,59,54,47,2
77,Female,45,54,53,2
80,Female,49,54,42,2
81,Male,57,54,51,2
83,Male,67,54,41,2
84,Female,46,54,44,2
86,Male,48,54,46,2
87,Female,55,57,58,2
90,Female,50,58,46,2
91,Female,68,59,55,2
93,Male,48,60,49,2
97,Female,47,60,47,2
99,Male,48,61,42,2
102,Female,49,62,48,2
103,Male,67,62,59,2
105,Male,49,62,56,2
107,Female,66,63,50,2
108,Male,54,63,46,2
109,Male,68,63,43,2
110,Male,66,63,48,2
111,Male,65,63,52,2
117,Female,63,65,43,2
118,Female,49,65,59,2
119,Female,51,67,43,2
120,Female,50,67,57,2
129,Male,59,71,11,2
131,Male,47,71,9,2
141,Female,57,75,5,2
161,Female,56,79,35,2
177,Male,58,88,15,2
179,Male,59,93,14,2
